1208,Istres,France,74
299,Benfica,Portugal,177
297,FC-Porto,Portugal,177
121,Rio-Ave,Portugal,177
296,Sporting-CP,Portugal,177
288,Braga,Portugal,177
2188,Estoril,Portugal,177
292,Belenenses,Portugal,177
2187,Feirense,Portugal,177
264,Maritimo,Portugal,177
1463,Portimonense,Portugal,177
107,Vitoria-de-Guimaraes,Portugal,177
785,Aves,Portugal,177
122,Boavista,Portugal,177
2008,Chaves,Portugal,177
108,Moreirense,Portugal,177
786,Pacos-de-Ferreira,Portugal,177
8071,Tondela,Portugal,177
298,Vitoria-de-Setubal,Portugal,177
5948,Arouca,Portugal,177
936,Nacional,Portugal,177
2189,Uniao-da-Madeira,Portugal,177
1439,Academica,Portugal,177
290,Gil-Vicente,Portugal,177
937,Penafiel,Portugal,177
782,Beira-Mar,Portugal,177
2722,Olhanense,Portugal,177
244,Uniao-de-Leiria,Portugal,177
1425,Naval,Portugal,177
1462,Leixoes,Portugal,177
295,Amadora,Portugal,177
2898,Trofense,Portugal,177
291,Alverca,Portugal,177
1282,Varzim,Portugal,177
251,Santa-Clara,Portugal,177
252,Salgueiros,Portugal,177
263,Farense,Portugal,177
289,SC-Campomaiorense,Portugal,177
243,AZ-Alkmaar,Netherlands,155
129,PSV-Eindhoven,Netherlands,155
130,Ajax,Netherlands,155
256,Feyenoord,Netherlands,155
758,FC-Groningen,Netherlands,155
128,FC-Utrecht,Netherlands,155
287,SC-Heerenveen,Netherlands,155
114,RKC-Waalwijk,Netherlands,155
127,Roda,Netherlands,155
784,Roosendaal,Netherlands,155
113,Twente,Netherlands,155
255,Vitesse,Netherlands,155
764,ADO-Den-Haag,Netherlands,155
257,De-Graafschap,Netherlands,155
783,NAC-Breda,Netherlands,155
116,NEC-Nijmegen,Netherlands,155
115,Willem-II,Netherlands,155
118,FC-Den-Bosch,Netherlands,155
868,PEC-Zwolle,Netherlands,155
762,FC-Volendam,Netherlands,155
867,Excelsior,Netherlands,155
242,Fortuna-Sittard,Netherlands,155
303,Sparta-Rotterdam,Netherlands,155
241,Cambuur,Netherlands,155
117,MVV-Maastricht,Netherlands,155
562,FC-Rostov,Russia,182
668,Lokomotiv-Moscow,Russia,182
560,Zenit-St.-Petersburg,Russia,182
2407,FK-Akhmat,Russia,182
847,CSKA-Moscow,Russia,182
7164,FC-Krasnodar,Russia,182
2057,Rubin-Kazan,Russia,182
1002,Anzhi-Makhachkala,Russia,182
8753,Arsenal-Tula,Russia,182
846,Dinamo-Moscow,Russia,182
9004,FC-Ufa,Russia,182
4167,SKA-Khabarovsk,Russia,182
840,Spartak-Moscow,Russia,182
13503,Tosno,Russia,182
4174,Ural,Russia,182
1537,Amkar,Russia,182
5460,FC-Orenburg,Russia,182
997,Krylya-Sovetov-Samara,Russia,182
2288,Tom-Tomsk,Russia,182
2290,Kuban-Krasnodar,Russia,182
4173,Mordovya,Russia,182
849,Torpedo-Moscow,Russia,182
5463,Volga-Nyzhny,Russia,182
844,Alania-Vladikavkaz,Russia,182
3620,Spartak-Nalchik,Russia,182
1005,Saturn-Ramenskoye,Russia,182
4055,Sibir-Novosibirsk,Russia,182
1072,FK-Moskva,Russia,182
2059,Khimki,Russia,182
4641,Luch-Energiya,Russia,182
1521,Shinnik-Yaroslavl,Russia,182
3611,Luch-Energiya-V.,Russia,182
1003,Rotor-Volgograd,Russia,182
1520,Uralan-Elista,Russia,182
1004,Chernomorets-Novorossiysk,Russia,182
996,Sokol-Saratov,Russia,182
1001,Fakel,Russia,182
10233,FC-Alania-Vladikavkaz,Russia,182
8734,FC-Rotor-Volgograd,Russia,182
1237,Corinthians,Brazil,31
1243,Atletico-PR,Brazil,31
1239,Flamengo,Brazil,31
1244,Gremio,Brazil,31
1234,Palmeiras,Brazil,31
1231,Sport,Brazil,31
8865,Chapecoense-AF,Brazil,31
1236,Coritiba,Brazil,31
1241,Santos-FC,Brazil,31
1235,Atletico-MG,Brazil,31
1221,Bahia,Brazil,31
1227,Botafogo-RJ,Brazil,31
1230,Cruzeiro,Brazil,31
1232,Fluminense,Brazil,31
1240,Ponte-Preta,Brazil,31
1224,Sao-Paulo,Brazil,31
1226,Vasco-da-Gama,Brazil,31
1238,Vitoria,Brazil,31
6368,Atletico-GO,Brazil,31
4619,Avai-FC,Brazil,31
1219,Internacional,Brazil,31
1228,America-MG,Brazil,31
1242,Santa-Cruz,Brazil,31
1766,Figueirense,Brazil,31
1218,Goias,Brazil,31
8863,Joinville,Brazil,31
2066,Criciuma,Brazil,31
1217,Portuguesa,Brazil,31
4624,Nautico,Brazil,31
7334,Ceara,Brazil,31
1233,Guarani,Brazil,31
5439,Gremio-Barueri,Brazil,31
2912,Santo-Andre,Brazil,31
4620,Betim-EC,Brazil,31
1220,Juventude,Brazil,31
1229,Parana-Clube,Brazil,31
4625,America-RN,Brazil,31
1222,Sao-Caetano,Brazil,31
2065,Fortaleza,Brazil,31
1767,Paysandu,Brazil,31
3203,Brasiliense,Brazil,31
1223,Botafogo-SP,Brazil,31
1225,Gama,Brazil,31
294,Galatasaray,Turkey,225
5729,Akhisar-Belediyespor,Turkey,225
133,Besiktas,Turkey,225
221,Bursaspor,Turkey,225
2201,Istanbul-Basaksehir,Turkey,225
2812,Karabukspor,Turkey,225
3475,Kasimpasa,Turkey,225
2200,Kayserispor,Turkey,225
2006,Konyaspor,Turkey,225
2003,Sivasspor,Turkey,225
226,Trabzonspor,Turkey,225
5732,Yeni-Malatyaspor,Turkey,225
3473,Alanyaspor,Turkey,225
227,Antalyaspor,Turkey,225
223,Fenerbahce,Turkey,225
156,Genclerbirligi,Turkey,225
254,Goztepe,Turkey,225
2005,Osmanlispor-FK,Turkey,225
750,Rizespor,Turkey,225
153,Adanaspor,Turkey,225
220,Gaziantepspor,Turkey,225
2864,Eskisehirspor,Turkey,225
2192,Mersin,Turkey,225
6279,Balikesirspor,Turkey,225
2197,Kayseri-Erciyesspor,Turkey,225
1768,Elazigspor,Turkey,225
3463,Orduspor,Turkey,225
2194,Manisaspor,Turkey,225
293,Ankaragucu,Turkey,225
2865,Bucaspor,Turkey,225
132,Denizlispor,Turkey,225
1280,Diyarbakirspor,Turkey,225
3851,Hacettepe-Spor-Kulubu,Turkey,225
224,Kocaelispor,Turkey,225
2195,Sakaryaspor,Turkey,225
1283,Malatyaspor,Turkey,225
154,Samsunspor,Turkey,225
2625,Istanbulspor,Turkey,225
2156,Sebatspor,Turkey,225
222,Altay,Turkey,225
751,Yozgatspor,Turkey,225
225,Erzurumspor,Turkey,225
755,Siirtspor,Turkey,225
10533,Erzurum-BB,Turkey,225
155,Vanspor,Turkey,225
174,Nottingham-Forest,England,252
142,Barnsley,England,252
182,Bristol-City,England,252
1786,Burton,England,252
181,Preston,England,252
189,Brentford,England,252
192,Millwall,England,252
1303,Banfield,Argentina,11
895,Velez-Sarsfield,Argentina,11
894,Belgrano,Argentina,11
4735,Tigre,Argentina,11
907,Argentinos-Juniors,Argentina,11
1746,Arsenal-Sarandi,Argentina,11
6148,Atletico-Tucuman,Argentina,11
889,Boca-Juniors,Argentina,11
